Titre,Année,Durée,Score
200. Sherlock Junior,1924,45m,"8,2"
201. Monstres & Cie,2001,1h 32m,"8,1"
202. Le troisième homme,1949,1h 44m,"8,1"
203. Les fraises sauvages,1957,1h 31m,"8,1"
204. Le salaire de la peur,1953,2h 36m,"8,2"
205. Les Dents de la mer,1975,2h 4m,"8,1"
206. Dragons,2010,1h 38m,"8,1"
207. Mary et Max.,2009,1h 32m,"8,1"
208. Mr. Smith au sénat,1939,2h 9m,"8,1"
209. Le Mans '66,2019,2h 32m,"8,1"
210. Ratatouille,2007,1h 51m,"8,1"
211. Pauvres créatures,2023,2h 21m,"8,1"
212. Le septième sceau,1957,1h 36m,"8,1"
213. Voyage à Tokyo,1953,2h 16m,"8,1"
214. Room,2015,1h 58m,"8,1"
215. The Big Lebowski,1998,1h 57m,"8,1"
216. Rocky,1976,2h,"8,1"
217. Logan,2017,2h 17m,"8,1"
218. Spotlight,2015,2h 9m,"8,1"
219. Hôtel Rwanda,2004,2h 1m,"8,1"
220. Platoon,1986,2h,"8,1"
221. Terminator,1984,1h 47m,"8,1"
222. La passion de Jeanne d'Arc,1928,1h 50m,"8,1"
223. Before Sunset,2004,1h 20m,"8,1"
224. Les Plus Belles Années de notre vie,1946,2h 50m,"8,1"
225. La haine,1995,1h 38m,"8,1"
226. Jai Bhim,2021,2h 44m,"8,7"
227. L'exorciste,1973,2h 2m,"8,1"
228. Rush,2013,2h 3m,"8,1"
229. Pirates des Caraïbes : La malédiction du Black Pearl,2003,2h 23m,"8,1"
230. Network - Main basse sur la TV,1976,2h 1m,"8,1"
231. Stand by Me : Compte sur moi,1986,1h 29m,"8,1"
232. Le Magicien d'Oz,1939,1h 42m,"8,1"
233. Les Indestructibles,2004,1h 55m,"8,0"
234. Hatchi,2009,1h 33m,"8,1"
235. Into the Wild,2007,2h 28m,"8,1"
236. Mon père et mon fils,2005,1h 52m,"8,2"
237. Mademoiselle,2016,2h 25m,"8,1"
238. Jeu dangereux,1942,1h 39m,"8,1"
239. La mélodie du bonheur,1965,2h 52m,"8,1"
240. Les raisins de la colère,1940,2h 9m,"8,1"
241. La bataille d'Alger,1966,2h 1m,"8,1"
242. Un jour sans fin,1993,1h 41m,"8,0"
243. Amours chiennes,2000,2h 34m,"8,1"
244. Rebecca,1940,2h 10m,"8,1"
245. Luke la main froide,1967,2h 7m,"8,1"
246. Le géant de fer,1999,1h 26m,"8,1"
247. La couleur des sentiments,2011,2h 26m,"8,1"
248. New York - Miami,1934,1h 45m,"8,1"
249. Danse avec les loups,1990,3h 1m,"8,0"
250. Les Quatre Cents Coups,1959,1h 39m,"8,1"
